Codigo;produto;QTD.;Vlr Unit.
31; ALBOCRESIL SOLUCAO;2;45,6
6480; ALCOOL 70% 1L ITAJA;10;13
21025; ALCOOL 70% 50ML (IMEC);11;5
2502; ALCOOL ETILICO 70% 50ML FARMAX;1;4
36491; ALCOOL ETILICO 70% 50ML SPRAY;1;7
69; ALDACTONE 25MG C/30 CPS;2;46,84
27120; ALEKTOS 20MG C/30 COMP;2;145,02
35050; ALEKTOS DERM LOC HID 200ML;1;120
28771; ALEKTOS2,5MG SOL ORAL 120ML;1;96,52
33937; ALEMA LAPAN 30ML;27;5
18385; ALENDRONATO DE SODIO 70MG 4CPR;24;8,25
3132; ALENIA 12/400MCG C/60 CAPS REF;4;167,25
5261; ALENIA 12/400MG C/60 CAPS+INAL;5;211,09
3164; ALENIA 6/200MG C/60 CAPS REFIL;2;124,33
1833; ALENIA 6/200MG C/60 CAPS+INAL;2;146,94
34993; ALERGALIV 1MG/ML XPE FR 100ML;1;16,01
17135; ALEVO 500MG 7CPR ;1;111,86
6790; ALGESTONA+ENANT.ESTRAD.INJ 1ML;2;15
26498; ALGESTONA+ESTRADIOL 1AMP INJ;83;17
13672; ALGI ARTICULAR C/ 30 COMP;1;90
18086; ALGI OSSEO 30CPR;1;115
21590; ALGIE 150MG 10CPR;2;59,51
34955; ALGILIVE 160 MG CAP DURA LIB P;1;35,22
4484; ALGINAC 1000MG C/15 COMP REV;1;39
6907; ALGINAC 5000 INJ 2ML C/3 AMP;2;38,78
13307; ALGINAC RETARD C/ 10 COMP;1;76,81
22369; ALGODAO BOLA FLOC 25G;7;1,7
28108; ALGODAO CREMER BOLA 50 GR;8;6,5
27346; ALGODAO CREMER BOLA 95G;10;11,5
30440; ALGODAO DISCOS 100 UN;4;12
9119; ALGODAO HIDROFILO 25G;16;2
23115; ALGODAO NATHALYA PCTE 25 GR...;23;1,5
36628; ALGODAO NATHY 100G BOLAS;5;5
35291; ALGODAO NATHY 25G;16;1,8
36629; ALGODAO POLYFARMA 095G BOLAS;1;7,5
32123; ALGODAO QUADRADINHO 80UNI;4;11,5
36630; ALGODAO TOPZ 095G BOLAS;2;6,5
35023; ALGODAO TOPZ 100UN DISCO L100P;3;13,5
35766; ALGODAO TOPZ BOLAS 25G(E);8;2
28109; ALGODAO TOPZ DISCO 1X50UN;3;9,5
35240; ALGY FLANDERIL 600MG 10 CPS MO;2;20
29245; ALICATE UNHA ENOX REF691;1;37,5
20728; ALIMENT INF SILIC NET AZUL;1;20,5
36672; ALIMENTADOR FREEZYNG POUCH F 7;2;25
36673; ALIMENTADOR FREEZYNG POUCH F 7;1;25
5418; ALIVIUM 100MG/ML GOTAS 20ML;6;50,64
3681; ALIVIUM 50MG/ML GOTAS 30ML;4;54,32
17592; ALIVIUM 600MG C/ 10 CAPS MOLES;2;53,52
28015; ALIVIUM GC 200MG/ML SUSP GTS20;2;67,49
2726; ALLEGRA 120MG C/10 CPS;1;61,39
6774; ALLEGRA 180MG C/10 COMP;1;92,16
13302; ALLEGRA 60MG C/ 10 COMP;1;47,3
5626; ALLEGRA D 60MG C/10 COMP;1;75,6
23375; ALLEGRA PED 150ML;1;93,31
25436; ALLESTRA  20 CAIXA C/63 COMP;2;96,37
13255; ALLESTRA 30 CAIXA C/ 63 COMP;2;99,88
26120; ALLEVIA CREME 200G;1;79
25714; ALMEIDA PRADO 35 C/60 CP;2;23,22
31640; ALMEIDA PRADO N46 60CP;1;42,87
27107; ALMOTOLIA 250ML TRASP RETO B;3;9
27063; ALMOTOLIA 500ML TRASPARENTE BI;6;15
32817; ALONG-C 450MG 30CAP;1;206
10536; ALOPURINOL 100MG C/ 30 COMP;7;9
13920; ALOPURINOL 300MG C/ 30COMP;4;25,48
45; ALPHAGAN COL 5ML;1;146,39
15760; ALPRAZOLAM (B1) 0,25MG C/30 (G;1;9
15217; ALPRAZOLAM 0,25MG 30CPR GERMED;7;8,66
10472; ALPRAZOLAM 0,5 MG 30 CPR GERME;11;9,73
327; ALPRAZOLAM 1,0MG C/30 COMP GEN;2;16,85
2629; ALPRAZOLAM 1MG 30CPR GERMED;20;13,21
36794; ALPRAZOLAM 2MG 30 CPR GN B1 TE;5;20
8006; ALPRAZOLAM 2MG 30CPR GE MEDLEY;3;15,23
1459; ALPRAZOLAM 2MG C/30 COMP GENER;11;16,52
22101; ALTA D 15.000 UI 4CAPS;1;62,39
28713; ALTA D 500UI 10ML;1;104
22433; ALTA D 7.000 UI 4 CAPS;2;21,32
28414; ALTA D CAL 1000MG 60CPR;1;221
3307; ALTIVA 120MG C/10 COMP;1;70,02
56; ALTIVA 180MG C/10 COMP;1;106,9
17664; ALURAX 2MG C/30 COM;1;72,55
19429; ALWAYS BASICO M.SUAVE C/16;1;8
14063; ALWAYS PINK L32P28 NORMAL;8;20
36440; AM0003 P COMPACTO AMM BEAUTY P;13;15
36441; AM0005 COLORSTAY BASE LQUIDA A;22;26
36442; AM0008 LIP GLOSS AMM BEAUTY PR;22;12
36821; AM0014- SUPER COLA PARA CLIOS;6;15
27611; AMACIADOR CUT REPOS 900ML;2;44
